,,,,,,,,,,,,,,,,,
1,Name of kriya,,Steps,step 1,step 2,step 3,step 4,step 5,step 6,step 7,step 8,step 9,step 10,step 11,step 12,,
11,Cure For Anxiety,,"1. VARAHA ASANA
2. TRISHOOLA KUMBHAKA
3. SEETHKAAREE PRAANAAYAAMAA
4. SHEETHALEE KUMBHAKA
5. TRINETRA KUMBHAKA","1. VARAHA ASANA
1. Stay on the floor in the squatting position
2. Keep the feet together and place the heels at the buttocks
3. Spread the toes apart
4. Raise the knees and press the abdomen with thighs
5. Join the palms together and take them to the back
6. Fix the gaze at the tip of the nose.
7. Stay in this pose 30 seconds","2.TRISHOOLA KUMBHAKA 
1. Inhale through the nostrils and also through the mouth simultaneously 2. Hold the breath as long as you can judiciously 3. Now exhale through the nostrils slowly and relax 4. Do this 21 times","3.SEETHKAAREE PRAANAAYAAMA
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this 21 times","4. SHEETHALEE KUMBHAKA
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 times","5.TRINETRA KUMBHAKA
1. Inhale through the left nostril 2. Hold the breath as long as you can judiciously 3. With out exhalation, inhale through the right nostril 4. Hold the breath as long as you can judiciously 5. Again without exhaling, inhale through both the nostrils 6. Hold the breath as long as you can judiciously 7. Now exhale through both the nostrils slowly 8. Do this 21 times",,,,,,,,,
12,Care For Arthritis,,"1. BHADRA ASANA
2. SHOONYAKA KUMBHAKA
3. KEVALA KUMBHAKA
4. BHOROLIKAA KUMBHAKA
5. TRAATAKA KUMBHAKA
6. VAM GATI KUMBHAKA
7. KUMUDA KUMBHAKA
8. KRAMA NETRA","1. BHADRA ASANA
1. Place the heels adjacent to each other and close to the perineum
2. Hold the feet with hands
3. Remain steady for 30 seconds","2. SHOONYAKA KUMBHAKA
1. Exhale completely
2. Hold the breath outside as long as you can
3. Now visualize moon on the crown of your head
4. Visualize nectar oozing out of the moon
5. Mentally suck the nectar
6. When you can’t hold the breath outside, slowly inhale
7. Do this 21 times","KEVALA KUMBHAKA
1. Hold the breath automatically without inhalation or exhalation specifically.
2. When you cannot hold anymore relax
3. Allow the breathing to become normal
4. Do this 21 times","4. BHOROLIKAA
1. Along with the a humming sound inhale completely
2. Without using the fingers to close the nose retain the breath inside as long as you can
3. When you can't hold more, release the breath through the nostrils without humming
4. Repeat this 21 times","5. TRAATAKA KUMBHAKA 1. Pull your tongue upwards 2. Inhale through the nostrils, Retain, and contract the throat and rest the chin on the chest 3. When you can’t hold, Exhale through the nostrils 4. Repeat this 21 times","6.VAAMA GATI KUMBHAKA
1. Inhale through both the nostrils
2. Hold the breath as long as possible judiciously
3. Exhale through both the nostrils.
4. Repeat this 21 times","7. KUMUDA KUMBHAKA
1. Inhale through the left nostril
2. Hold the breath
3. Exhale through both the nostrils
4. Repeat this 21 times","8. KRAMA NETRA KUMBHAKA
1. Inhale through the right nostril
2. Hold the breath
3. Inhale through the left nostril
4. Hold the breath
5. Exhale through the right nostril
6. Hold the breath
7. Exhale through the left nostril
8. Hold the breath
9. Do this 21 times",,,,,,
13,Cure For Arthritis,,"1. ARDHA PADMA ASANA
2. BHOOTA SHUDDHI KUMBHAKA
3. BHRAAMAREE KUMBHAKA
4. ANTARANGA KUMBHAKA
5. BHASTRIKAA KUMBHAKA","1. ARDHA PADMA ASANA
1. Place the right foot on the left thigh 
2. Now Place the left foot under the right thigh
3. Concentrate on the tip of the nose. Keep your hands on your thighs in chin mudra
4. Settle in this posture for 30 seconds","2. BHOOTA SHUDDHI KUMBHAKA
1. Inhale (for 16 matras)
2. Hold the breath (for 64 matras)and retain the awareness at the same time in your heart, navel, 
svadishtana, muladhara, throat center and the eyebrow center
3. Exhale (in 32 matras)
4. Do this 7 minutes","3. BHRAAMAREE KUMBHAKA
1. Inhale rapidly with the sound ‘mmm’ of a bee
2. Hold 
3. Exhale steadily and slowly with the sound of a ‘mmm’ of a bee
4. Do this 21 times 
(you have to take something to eat within 10-15 minutes after doing this kumbhaka)","4. ANTARANGA KUMBHAKA
1. Hold the breath outside after suddenly exhaling
2. Then Hold the breath inside after suddenly inhaling
3. Do this 21 times","5. BHASTRIKAA
1. Inhale slowly expanding the stomach
2. Exhale slowly
3. Do this 21 times
4. After 21 times, now inhale slowly
5. Hold the breath as long as you can 
6. When you feel you can’t hold quickly expel the air with the sound of bellows. At this moment 
the stomach should contract to touch the back
(This is one Bhastrikaa)
7. Do this complete sequence three times",,,,,,,,,
14,Care For Asthma,,"1. SIDDHAASANA
2. NAAGA KUMBHAKA
3. TRINETRA KUMBHAKA
4. TRISHOOLA KUMBHAKA
5. KOORMA KUMBHAKA
6. SAMA KUMBHAKA","1. SIDDHAASANA
1. One heel should be placed in the space between the genitals and anus and the other heel 
should be placed on the genitals.
2. The chin should be placed on the chest. 
3. Keep the backbone straight 
4. Gaze through the third eye .
5. Maintain the pose for 30 seconds","2. NAAGA KUMBHAKA
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel.
2. Once you are full, immediately contract the throat, place the chin on the chest
3. Hold the breath in this posture as long as possible
4. Then release the lock and exhale slowly from the throat
5. Do this 21 times","3.TRINETRA KUMBHAKA
1. Inhale through the left nostril 2. Hold the breath as long as you can judiciously 3. With out exhalation, inhale through the right nostril 4. Hold the breath as long as you can judiciously 5. Again without exhaling, inhale through both the nostrils 6. Hold the breath as long as you can judiciously 7. Now exhale through both the nostrils slowly 8. Do this 21 times","4.TRISHOOLA KUMBHAKA 
1. Inhale through the nostrils and also through the mouth simultaneously 2. Hold the breath as long as you can judiciously 3. Now exhale through the nostrils slowly and relax 4. Do this 21 times","5.KOORMA KUMBHAKA
1. Continue to be seated in the same asana
86
2. Fix your sight at one point and stare
3. Do not blink your eyes
4. Do not allow your eye balls to move.
5. Do not move your body.
6. While you stare intensely, automatically the breathing will stop. Hold the breath as long as you 
can. 
7. When you can't hold anymore, relax
8. Then again stare
9. Do this 21 times.","6. SAMA KUMBHAKA
1. Stop inhaling and exhaling
2. Hold the breath and mentally retain the breath 
3. As you are holding bring your awareness to heart
4. When you can not hold any more relax
5. Do this 21 times",,,,,,,,
15,Cure For Asthma,,"1. DURVAASA ASANA
2. NAAGA KUMBHAKA
3. TRINETRA KUMBHAKA
4. TRISHOOLA KUMBHAKA
5. KOORMA KUMBHAKA
6. SAMA KUMBHAKA","1. DURVAASA ASANA
1. Stay on the floor 
2. Bend your right knee and place the right leg on the left side hip
3. Bend the left knee and place the left foot on the above the right thigh so that the left foot is 
placed near the right side hip
4. Touch the right hand finger tips with the middle joints of left fingers
5. Place the hands on the genitals
6. Fix the gaze at the eye brow center 
7. Remain in this position for 30 seconds","2. NAAGA KUMBHAKA
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel.
2. Once you are full, immediately contract the throat, place the chin on the chest
3. Hold the breath in this posture as long as possible
4. Then release the lock and exhale slowly from the throat
5. Do this 21 times","3.TRINETRA KUMBHAKA
1. Inhale through the left nostril 2. Hold the breath as long as you can judiciously 3. With out exhalation, inhale through the right nostril 4. Hold the breath as long as you can judiciously 5. Again without exhaling, inhale through both the nostrils 6. Hold the breath as long as you can judiciously 7. Now exhale through both the nostrils slowly 8. Do this 21 times","4.TRISHOOLA KUMBHAKA 
1. Inhale through the nostrils and also through the mouth simultaneously 2. Hold the breath as long as you can judiciously 3. Now exhale through the nostrils slowly and relax 4. Do this 21 times","5.KOORMA KUMBHAKA
1. Continue to be seated in the same asana
86
2. Fix your sight at one point and stare
3. Do not blink your eyes
4. Do not allow your eye balls to move.
5. Do not move your body.
6. While you stare intensely, automatically the breathing will stop. Hold the breath as long as you 
can. 
7. When you can't hold anymore, relax
8. Then again stare
9. Do this 21 times.","6. SAMA KUMBHAKA
1. Stop inhaling and exhaling
2. Hold the breath and mentally retain the breath 
3. As you are holding bring your awareness to heart
4. When you can not hold any more relax
5. Do this 21 times",,,,,,,,
16,Care For Attention Deficit Disorder,,"1. VAJRA ASANA
2. DAKSHINAVARTHA SHANKHA KUMBHKA
3. VAMAVARTHA SHANKHA KUMBHAKA
4. GADAA KUMBHAKA","1. VAJRA ASANA
1. With knees, ankles and big toes touching the ground, stand on a kneeling position.
2. Sit erect with the heels under your buttocks
3. Erect in this asana 30 second","2. DAKSHINAAVARTA SHANKHA KUMBHAKA
1. Inhale deeply and fully through the right nostril
2. Hold the breath inside as long as possible
3. When you can’t hold anymore slowly release the breath through the left nostril
4. Again inhale deeply and fully through the right nostril
5. Hold the breath inside as long as possible
6. When you can’t hold anymore slowly release the breath through the left nostril
(practice as described from points 1-6 once more. With this two rounds of Dakshinavartha 
chakrakumbhaka is completed. Then do one round of agnishoma kumbhaka as described below)
7. Inhale through the right nostril
8. Hold the breath
9. Exhale through the left nostril
10. Now inhale through the left nostril
11. Hold the breath
12. Exhale through the right nostril
13. Do this 21 time","3. VAAMAAVARTHA SHANKHA KUMBHAKA
1. Inhale through left nostril
2. Hold the breath as long as you can judiciously
95
3. Exhale through the right nostril
4. Again inhale through left nostril
5. Hold the breath as long as you can judiciously
6. Exhale through the right nostril
(practise as described from points 1-6 once more. With this two rounds of Dakshinavartha 
chakrakumbhaka is completed. Then do one round of agnishoma kumbhaka as described below)
7. Inhale through the right nostril
8. Hold the breath
9. Exhale through the left nostril
10. Now inhale through the left nostril
11. Hold the breath
12. Exhale through the right nostril
13. Do this 21 times","4. GADAA KUMBHAKA
1. Inhale through both the nostrils
2. Hold the breath
3. Exhale through the right nostril
4. Do this 21 times",,,,,,,,,,
17,Cure For Attention Deficit Disorder (ADD),,"1. PARA ASANA
2. DAKSHINAAVARTA SHANKHA KUMBHKA
3. VAAMAAVARTHA SHANKHA KUMBHAKA
4. GADAA KUMBHAKA","1. PARA ASANA
1. Stretch both the legs opposite to each other with left leg bent back and right leg stretched 
forward
2. Spread the hands also above the legs
3. Stay in this posture 30 seconds","2. DAKSHINAAVARTA SHANKHA KUMBHAKA
1. Inhale deeply and fully through the right nostril
2. Hold the breath inside as long as possible
3. When you can’t hold anymore slowly release the breath through the left nostril
4. Again inhale deeply and fully through the right nostril
5. Hold the breath inside as long as possible
6. When you can’t hold anymore slowly release the breath through the left nostril
( practice as described from points 1-6 once more. With this two rounds of Dakshinavartha 
chakrakumbhaka is completed. Then do one round of agnishoma kumbhaka as described below)
7. Inhale through the right nostril
8. Hold the breath
9. Exhale through the left nostril
10. Now inhale through the left nostril
11. Hold the breath
12. Exhale through the right nostril
13. Do this 21 times","3. VAAMAAVARTHA SHANKHA KUMBHAKA
1. Inhale through left nostril
2. Hold the breath as long as you can judiciously
95
3. Exhale through the right nostril
4. Again inhale through left nostril
5. Hold the breath as long as you can judiciously
6. Exhale through the right nostril
(practise as described from points 1-6 once more. With this two rounds of Dakshinavartha 
chakrakumbhaka is completed. Then do one round of agnishoma kumbhaka as described below)
7. Inhale through the right nostril
8. Hold the breath
9. Exhale through the left nostril
10. Now inhale through the left nostril
11. Hold the breath
12. Exhale through the right nostril
13. Do this 21 times","4. GADAA KUMBHAKA
1. Inhale through both the nostrils
2. Hold the breath
3. Exhale through the right nostril
4. Do this 21 times",,,,,,,,,,
18,Care For Autism,,1. BISHISTA ASANA 2. ANTAH KUMBHAKA 3. BAHIH KUMBHAKA 4. BODHOSOKA ASANA 5. PRAKRITHI KUMBHAKA 6. NAAGA KUMBHAKA 7. KOORMA KUMBHAKA .,"1. BISHISTA ASANA
1. Sit with legs stretched
2. Place both feet together holding the soles close to one another
3. Place your arms between the legs and raise both the legs upwards 
4. Bring the feet over your face
5. Interlock the fingers
6. Keep the palms upon the forehead
7. Keep your gaze on the tip of your nose, remain in this position for 30 seconds","2. ANTAH KUMBHAKA
1. Close your eyes
2. Unclutch 
3. Inhale and hold the breath
4. Be in the unclutched state
5. Exhale slowly and relax and Breath two or three times normally
6. Do this 21 times","3.BAHIH KUMBHKA
1. Slowly exhale
2. Retain the breath as long as possible outside without any visualization
3. Then slowly relax and inhale
4. Do this 21 times","4. BODHASHOKA ASANA
1. Sit in a squatting position
2. Hold the knees close to the chest
3. Cross the arms and hold the knees
4. Place the chin on the knees
5. Fix the gaze at the nose tip
6. Sit in this posture 30 seconds","5.PRAKRITHI KUMBHAKA
1. As you chant the bija mantra “VA” loudly, suck in air quickly.
2. After you are full, hold the breath
104
3. Then slowly exhale normally
4. Do this 21 times","6. NAAGA KUMBHAKA
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel.
2. Once you are full, immediately contract the throat, place the chin on the chest
3. Hold the breath in this posture as long as possible
4. Then release the lock and exhale slowly from the throat
5. Do this 21 times","7.KOORMA KUMBHAKA
1. Continue to be seated in the same asana
86
2. Fix your sight at one point and stare
3. Do not blink your eyes
4. Do not allow your eye balls to move.
5. Do not move your body.
6. While you stare intensely, automatically the breathing will stop. Hold the breath as long as you 
can. 
7. When you can't hold anymore, relax
8. Then again stare
9. Do this 21 times.",,,,,,,
19,Cure For Autism,,"1. MAKARA ASANA 
2. ANTAH KUMBHAKA
3. BAHIH KUMBHAKA
4. MANDUKASANA
5. PRAKRITHI KUMBHAKA
6. NAAGA KUMBHAKA
7. KOORMA KUMBHAKA","1. MAKARA ASANA 
1. Lie on the ground facing downwards with the chest resting on the ground.
2. Spread the legs wide apart, as possible with toes pointing out in opposite directions
3. Catch hold of your heads with the two arms 
4. Stay in this pose 30 seconds","2. ANTAH KUMBHAKA
1. Close your eyes
2. Unclutch 
3. Inhale and hold the breath
4. Be in the unclutched state
5. Exhale slowly and relax and Breath two or three times normally
6. Do this 21 times","3.BAHIH KUMBHKA
1. Slowly exhale
2. Retain the breath as long as possible outside without any visualization
3. Then slowly relax and inhale
4. Do this 21 times","4.MANDUKASANA
1. Stay on the floor with legs folded backwards, buttocks placed on the heels, toes touching each other. 2. Spread the knees apart. 3. Place the hands under the respective knees. 4. Stay in this pose 30 seconds IN MANDUKASANA, NEXT","5.PRAKRITHI KUMBHAKA
1. As you chant the bija mantra “VA” loudly, suck in air quickly.
2. After you are full, hold the breath
104
3. Then slowly exhale normally
4. Do this 21 times","6. NAAGA KUMBHAKA
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel.
2. Once you are full, immediately contract the throat, place the chin on the chest
3. Hold the breath in this posture as long as possible
4. Then release the lock and exhale slowly from the throat
5. Do this 21 times","7.KOORMA KUMBHAKA
1. Continue to be seated in the same asana
86
2. Fix your sight at one point and stare
3. Do not blink your eyes
4. Do not allow your eye balls to move.
5. Do not move your body.
6. While you stare intensely, automatically the breathing will stop. Hold the breath as long as you 
can. 
7. When you can't hold anymore, relax
8. Then again stare
9. Do this 21 times.",,,,,,,
20,Care For Autoimmune Disorders,,"1. UPANISHAD
Only initiation can cure this disorder.
1. Sit straight in either Vajra asana or Padma asana
2. Close your eyes
3. Keep your hands relaxed
4. Sit in a deep receptive mood to receive initiation",,,,,,,,,,,,,,
21,Cure For Autoimmune Disorders,,1. UPANISHAD Only initiation can cure this disorder. 1. Sit straight in either Vajra asana or Padma asana 2. Close your eyes 3. Keep your hands relaxed 4. Sit in a deep receptive mood to receive initiation,,,,,,,,,,,,,,
22,Care For Baldness,,"1. DURVAASA ASANA
2. SHEETHALEE KAAKA CHANCHU KUMBHAKA","1. DURVAASA ASANA
1. Stay on the floor 
2. Bend your right knee and place the right leg on the left side hip
3. Bend the left knee and place the left foot on the above the right thigh so that the left foot is 
placed near the right side hip
4. Touch the right hand finger tips with the middle joints of left fingers
5. Place the hands on the genitals
6. Fix the gaze at the eye brow center 
7. Remain in this position for 30 second","2. SHEETHALEE KAAKA CHANCHU KUMBHAKA
1. Form the mouth like the beak of a crow
2. Inhale 
3. Hold as long as possible
4. Visualize nectar flowing 
5. Raise the tongue and taste the nectar flowing from the crown of your head
6. Exhale through both the nostrils
7. Do this for 21 minutes",,,,,,,,,,,,
23,Cure For Baldness,,"1. PARA ASANA
2. SHEETHALEE KAKA CHANCHU KUMBHAKA","1. PARA ASANA
1. Stretch both the legs opposite to each other with left leg bent back and right leg stretched 
forward
2. Spread the hands also above the legs
3. Erect this posture 30 seconds","2. SHEETHALEE KAKA CHANCHU KUMBHAKA
1. Form the mouth like the beak of a crow
2. Inhale 
3. Hold as long as possible
4. Visualize nectar flowing 
5. Raise the tongue and taste the nectar flowing
6. When you can't hold any more, close your mouth and exhale through both the nostrils
7. Do this for 21 minutes",,,,,,,,,,,,
24,Care For Bipolar Disorder,,"1. KALYANA ASANA
2. BHUJANGI KARNA KUMBHAKA
3. KURAKATASANA
4. BHUYANGAMASANA KUMBHAKA
5. KOORMA ASANA
6. TRAATAKA KUMBHAKA","1. KALYANA ASANA
1. Sit in a squatting position
2. Bring the hands under the knees
3. Lock and catch hold of the feet
4. Raise the feet 
5. Fix the gaze at the tip of the nose
6. Be balance in this position for 30 seconds","2. BHUJANGI KARNA KUMBHAKA
1. Through the throat swallow the air 
2. Hold the breath as long as possible judiciously
3. Through the throat expell the air again
4. Do this 21 times","3. KURAKATA ASANA
1. Sit in a sqautting position
2. Raise your knees
3. Insert the hands in between the thighs and calf muscles
4. Take hold of the opposite elbows with hands
5. Fix the gaze at the tip of the nose
6. Be balance in this position for 30 seconds","4. BHUYANGAMA KUMBHAKA
1. The tongue should be raised slightly and protruded little outside
2. Inhale 
3. Hold as long as possible judiciously
4. Exhale as slowly as possible
121
5. Do this 21 times","5. KOORMA ASANA
1. First Sit in Padma asana
2. Insert the hands in between thighs and calf muscles
3. Pull both hands up to elbows
4. Turn towards back and lock the fingers
5. Bend forward and touch the forehead on the floor
6. Fix the gaze at the tip of the nose
7. Remain in this pose 30 seconds
IN KOORMA ASANA, NEXT","6.TRAATAKA KUMBHAKA
1. Pull your tongue upwards
2. Inhale through the nostrils, Retain, and contract the throat and rest the chin on the chest
122
3. When you cant hold, Exhale through the nostrils
4. Repeat this 21 time",,,,,,,,
25,Cure For Bipolar Disorder,,1. MEEDAKEE PAAVA ASANA 2. BHUJANGI KARNA KUMBHAKA 3. MRITYA BHANJAKA ASANA 4. BHUYANGAMA KUMBHAKA 5. NAAGEE PAVAA ASANA 6. TRAATAKA KUMBHAKA 7. NAGRA ASANA 8. SHOONYAKA KUMBHAKA,"1. MEEDAKEE PAAVA ASANA
1. Sit in VAJRA ASANA with the lower leg, ankles and toes touching the ground
2. Interlock the fingers 
3. Insert them on the floor on one side of your body
4. Bend the head forward with the head touching the ground, raising the lower legs
5. Let the lower leg be without touching the ground but close to the body
6. Stay in this pose 30 seconds","2. BHUJANGI KARNA KUMBHAKA 
1. Through the throat swallow the air 
2. Hold the breath as long as possible judiciously
3. Through the throat expell the air again
4. Do this 21 times","3. MRITYA BHANJAKA ASANA
1. Lie on your back with face upwards
2. Bend the knees and take them under the armpits with legs held upwards vertically
3. Put the hands on feet 
4. Gaze at the tip of the nose 
5. Remain in this pose for 30 seconds","4. BHUYANGAMA KUMBHAKA
1. The tongue should be raised slightly and protruded little outside
2. Inhale 
3. Hold as long as possible judiciously
4. Exhale as slowly as possible
5. Do this 21 times","5. NAAGEE PAAVA ASANA
1. Sit with legs stretched
2. Place both soles together with the knees sidewards
3. Bend forward and rest your elbows on the legs
4. Place the palms on the ground
5. Make a hollow of the hands
6. Gaze the nose tip
7. Remain in this pose for 30 seconds","6. TRAATAKA KUMBHAKA
1. Pull your tongue upwards
2. Inhale through the nostrils, Retain, and contract the throat and rest the chin on the chest
3. when you cant hold, Exhale through the nostrils
4. Repeat this 21 times","7. NAGRA ASANA

1. Sit in Padma asana
2. Cross the hands from your back
3. Lie on your back with the knees touching the ground
4. Gaze at the nose tip
5. Remain in this pose for 30 seconds","8. SHOONYAKA KUMBHAKA
1. Exhale completely
2. Hold the breath outside as long as you can
128
3. Now visualize moon on the crown of your head
4. Visualize nectar oozing out of the moon
5. Mentally suck the nectar
6. When you can’t hold the breath outside, slowly inhale
7. Do this 21 times",,,,,,
26,Care For Cancer,,1. USHTRA ASANA 2. PLAAVINEE KUMBHAKA 3. MOORCCHANAA KUMBHAKA 4. UTHKATA ASANA 5. KAMALA KUMBHAKA 6. KUMUDA KUMBHAKA 7. KRAMA NETRA KUMBHAKA,"1. USHTRA ASANA
1. Lie flat on your chest
2. Lift your legs upwards in this posture
3. Take your hands backwards and catch hold of the feet firmly
4. Contract the mouth and abdomen
5. Maintain this pose for 30 seconds","2. PLAAVINEE KUMBHAKA
1. Stay on same posture
2. Inhale completely
3. Contract the throat and rest your chin on the chest
4. Retain the air inside as much as you can possible
5. When you can't hold anymore, Release the throat lock and exhale slowly
6. Do this 21 times","3. MOORCCHANAA KUMBHAKA
1. Sit in same asana and close the eyes
2. Inhale slowly and deeply through both nostrils
3. After inhaling, immediately do Jalandhara Bandha by putting your chin on the chest and 
locking the throat 
4. Hold the breath as long as you can. 
5. When you can't hold anymore, Exhale through both nostrils in a very controlled manner in 
Jaalandhara bandha itself
6. Do this 21 times","4. UTHKATA ASANA
1. Come to a full squat position
2. Raise the heels and Bend the knees forward and balance on the toes itself
3. Sit such that the anus touches the heels
4. If you can't balance on the toes itself, You can rest the knees on the ground
5. Stay in this state for 30 seconds","5. KAMALA KUMBHAKA
1. Inhale through the right nostril
2. Retain the breath as long as you can judiciously
3. Exhale through the left nostril
4. Do this 21 times
IN UTHKATA ASANA, NEXT","6. KUMUDA KUMBHAKA
1. Inhale through the left nostril
2. Hold the breath
3. Exhale through both the nostrils
4. Repeat this 21 times
IN UTHKATA ASANA, NEXT","7. KRAMA NETRA KUMBHAKA
1. Inhale through the right nostril
2. Hold the breath
3. Inhale through the left nostril
4. Hold the breath
5. Exhale through the right nostril
6. Hold the breath
7. Exhale through the left nostril
8. Hold the breath
9. Do this 21 times",,,,,,,
27,Cure For Cancer,,"1. MATSYENDRA ASANA
2. PLAAVINEE KUMBHAKA
3. MOORCCHANAA KUMBHAKA
4. MAAKADA ASANA
5. KAMALA KUMBHAKA
6. KUMUDA KUMBHAKA
7. KRAMA NETRA KUMBHAKA","1.MATSYENDRA ASANA
1. Sit and Stretch your legs
2. Relax your stomach
3. Bend your left leg and place it over your right lap.Keep the left knee upright.Keep the left knee 
upright
4. Now place the right elbow on the left knee
5. Place your cheek on right palm 
6. Fix your gaze at the center of the eye brows
7. Stable in this asana for 30 seconds
IN MATSYHENDRA ASANA, NEXT","2. PLAAVINEE KUMBHAKA
1. Stay on same posture. Keep your right hand perpendicular
2. Inhale completely
3. Contract the throat and rest your chin on the chest
4. Retain the air inside as much as you can possible
5. When you can't hold anymore, Release the throat lock and exhale slowly 
6. Do this 21 times
IN MATSYHENDRA ASANA, NEXT","3. MOORCCHANAA KUMBHAKA
1. Sit in same asana and close the eyes
2. Inhale slowly and deeply through both nostrils
3. After inhaling, immediately do Jalandhara Bandha by putting your chin on the chest and 
locking the throat 
4. Retain the air inside as much as you can possible
5. When you can't hold anymore, immediately Exhale through both nostrils in a very controlled 
manner in Jaalandhara bandha itself
6. Do this 21 times","4. MAAKADA ASANA
1. Come to a full squat position
2. Rest the knees on the floor and spread the knees a little apart
3. Stay on the heels with the heels raised off the ground
4. Keep the toes pointing downwards
5. Raise the arms, cross them and place them behind the head
6. Fix the gaze at the eyebrow center
7. Remain in this pose 30 seconds
IN MAAKADA ASANA NEXT","5. KAMALA KUMBHAKA
1. Inhale through the right nostril
2. Retain the breath as long as you can judiciously
3. Exhale through the left nostril
4. Do this 21 times
IN MAAKADA ASANA, NEXT","6. KUMUDA KUMBHAKA
1. Inhale through the left nostril
2. Hold the breath as long as you can judiciously
3. Exhale through both the nostrils
4. Repeat this 21 times
IN MAAKADA ASANA, NEXT","7. KRAMA NETRA KUMBHAKA
1. Inhale through the right nostril
2. Hold the breath
3. Inhale through the left nostril
4. Hold the breath
5. Exhale through the right nostril
6. Hold the breath
7. Exhale through the left nostril
8. Hold the breath
9. Do this 21 times",,,,,,,
